序號,孳清/噴藥,區域,里別,日期,星期,集合時間,集合地點,鎖匠,"警員
(安全維護)",刑警(V8),噴工數,支援人力,經度,緯度,中午休息地點
1,噴藥,北區,文元里,12月1日,二,08:15,文靈公(文賢三街366號對面),2,2,1,"14/國軍
2/本局(備)",33,120.198 ,23.015 ,文元里活動中心
2,噴藥,安平區,港仔里,12月1日,二,08:15,"安平路746號
(觀音亭)",1,0,1,4/本局,8,120.164 ,22.999 ,安平衛生所
3,噴藥,歸仁區,許厝里,12月1日,二,08:15,中山路一段437巷9號(許厝社區活動中心),1,1,1,1/PCO,本所,120.300 ,22.966 ,歸仁衛生所
4,噴藥,南區,興農,12月2日,三,08:15,明興路1129巷口,1,1,1,"7/國軍
1/本局(備)",16,120.192 ,22.930 ,田寮里活動中心(夏林路379號)
5,噴藥,南區,田寮,12月2日,三,08:15,新興路與夏林路口全家超商前,2,2,1,"9/國軍
1/本局(備)",20,120.229 ,23.278 ,田寮里活動中心(夏林路379號)
6,噴藥,南區,文南,12月2日,三,13:15,健康路二段236號(中國信託),2,2,1,"8/國軍
1/本局(備)",18,120.190 ,22.985 ,田寮里活動中心(夏林路379號)
7,噴藥,安平區,港仔里,12月2日,三,13:15,安平路147號,1,0,1,"10/國軍
2/本局(備)",20,120.164 ,22.999 ,安平衛生所
8,噴藥,安平區,華平里,12月2日,三,13:15,健康二街466號旁空地,1,1,0,7/本局,14,120.174 ,22.995 ,安平衛生所
9,噴藥,永康區,復華里,12月2日,三,08:15,國華街94巷2號前,2,1,1,"9/國軍
1/本局(備)",21,120.244 ,23.010 ,永康衛生所(文化路51號)
10,噴藥,永康區,安康里,12月2日,三,13:15,中山南路123巷21弄12號旁空地,3,2,1,"13/國軍
2/本局(備)",31,120.227 ,23.016 ,永康衛生所(文化路51號)
11,噴藥,東區,崇文,12月3日,四,08:15,崇德19街39號旁邊停車場,1,0,1,"9/國軍
1/本局(備)",21,120.230 ,22.968 ,衛生局
12,噴藥,東區,德高,12月3日,四,13:15,仁和路252巷6號旁邊空地,1,0,1,"5/國軍
1/本局(備)",13,120.234 ,22.967 ,衛生局
13,噴藥,東區,,12月3日,四,08:15,健身工廠,,,,3/本局,,,,衛生局
14,噴藥,南區,郡南,12月3日,四,08:15,永成路三段312號(新都路與永成路三段交叉口早餐店),2,2,1,"9/國軍
1/本局(備)",20,120.195 ,22.964 ,
15,噴藥,永康區,西灣里,12月3日,四,13:15,永華路212巷12號大樓,3,2,1,"4/國軍
1/本局(備)",11,120.261 ,23.012 ,永康衛生所
16,噴藥,安平區,石門里,12月3日,四,08:15,安北路94號旁空地,1,0,1,"4/國軍
1/本局(備)",8,120.165 ,23.001 ,安平區衛生所
17,噴藥,安平區,平安里,12月3日,四,13:15,安北路16巷31號對面停車場,1,1,0,"8/國軍
1/本局(備)",18,120.173 ,22.999 ,安平區衛生所
18,噴藥,北區,"安民.
裕民里",12月3日,四,13:15,成功路412號前面,2,2,1,9/國軍,21,120.196 ,23.003 ,衛生所
19,噴藥,北區,大道里,12月3日,四,13:15,北門路二段547巷25號前廣場,1,1,1,4/國軍,11,120.216 ,23.010 ,衛生所
20,噴藥,麻豆,港尾,12月3日,四,08:15,港尾里客子寮11號前空地,1,1,1,1/PCO,本所,120.245 ,23.186 ,
21,噴藥,關廟區,香洋里,12月3日,四,08:15,關廟區香洋里中央路129號旁空地,1,1,1,2/PCO,2,120.330 ,22.959 ,關廟區公所
22,噴藥,東區,裕聖,12月4日,五,08:15,裕孝路397號前面,1,0,1,17/中群,17,120.247 ,22.980 ,衛生局
23,噴藥,北區,文成里,12月4日,五,13:15, 立賢路二段66巷3號對面空地,1,1,1,7/本局,16,120.197 ,23.007 ,
24,噴藥,中西區,赤崁里,12月4日,五,15:30, 中山路125號急診室門口,,,,2/環保,,120.203 ,22.998 ,
25,噴藥,永康區,復國里,12月4日,五,08:15,復國一路237巷1號前(復華夜市旁空地),3,2,1,4/本局,13,120.247 ,23.006 ,永康衛生所
26,噴藥,新化區,豐榮,12月4日,五,08:15,豐榮里民治路43巷1號,1,1,2,"3/中群
7/偉聖
2/安應",24,120.305 ,23.090 ,
27,噴藥,新化區,大坑,12月4日,五,08:15,大坑里關懷據點,1,1,1,1/偉聖,0,120.375 ,23.011 ,
28,噴藥,新化區,護國,12月4日,五,13:15,護國里中山路115號,1,1,1,8/偉聖,18,120.323 ,23.043 ,
29,噴藥,新化區,武安,12月4日,五,13:15,新化區健康路143號,1,1,2,"10/中群
5/安應",30,120.307 ,23.033 ,
30,噴藥,南區,大林,12月5日,六,08:15,大同路二段406巷12弄口,3,3,1,"5/偉聖
5/中群
5/局內
",32,120.211 ,22.974 ,衛生局
31,噴藥,永康區,五王里,12月5日,六,13:15,成功路244巷45號旁空地,1,1,,"3/偉聖
2/中群",12,120.235 ,23.012 ,永康衛生所
32,噴藥,永康區,安康里,12月5日,六,13:15,中山南路123巷21弄大樓門口,2,1,1,2/中群,6,120.227 ,23.016 ,永康衛生所
33,噴藥,東區,崇成,12月7日,一,13:15,崇德12街31號旁邊停車場,3,2,1,"10/中群
5/安應
7/本局
",49,120.229 ,22.971 ,衛生局
34,噴藥,北區,大港里,12月7日,一,13:15,大興街264巷1號旁,2,2,1,11/偉聖,25,120.183 ,23.010 ,
35,噴藥,安南,溪心,12月7日,一,08:15,安中路二段296巷8號,0,1,1,3/安應,6,120.185 ,23.051 ,
36,噴藥,南區,田寮,12月7日,ㄧ,08:15,西門路ㄧ段223巷口,2,2,2,"5/中群
4/偉盛",19,120.229 ,23.278 ,
37,噴藥,南區,新生,12月7日,ㄧ,13:15,大同路二段196號,1,1,1,2/中群,5,120.212 ,22.978 ,
38,噴藥,南區,喜北喜南,12月7日,ㄧ,13:15,萬皇宮(喜樹路222號),1,1,1,3/中群 ,7,120.178 ,22.949 ,
39,噴藥,東區,大同,12月8日,二,13:15,台南市東區大同路一段197巷58號(慈惠堂),3,2,1,"7/偉聖
7/中群",31,120.215 ,22.971 ,衛生局
40,噴藥,中西區,西賢里,12月8日,二,08:15,"全人護理之家門口
西賢一街187巷1號門口",2,2,1,"7/偉聖
7/中群",31,120.172 ,23.004 ,
41,噴藥,永康區,六合里,12月8日,二,08:15,六合里中華二路358巷8號觀雲社區乙區1樓中庭,1,1,0,4/本局,9,120.230 ,23.011 ,
42,噴藥,安平區,金城里,12月8日,二,13:15,湖內一街20號,1,0,1,"3/偉聖
3/中群",13,120.149 ,22.995 ,
43,噴藥,東區,大智,12月9日,三,08:15,長東街145巷10號旁,1,0,1,6/偉聖,14,120.193 ,22.990 ,衛生局
44,噴藥,東區,東智,12月9日,三,13:15,臺南市東區德東街90號(大智里活動中心),1,1,0,"3/偉聖
3/中群
3/本局",20,120.228 ,22.963 ,衛生局
45,噴藥,永康區,勝利里,12月9日,三,08:15,勝華街37巷39號(勝利里活動中心),1,1,,6/中群,14,120.233 ,23.005 ,
46,噴藥,新市區,永就里,12月10日,四,08:15,永就里80號(遠東會館),3,2,1,"5/偉聖
5/中群
5/本局
",30,120.300 ,23.064 ,
47,噴藥,新市區,永就里,12月10日,四,13:15,永就里中華路49號-(遠東科技大學-二宿一樓),,,,"5/偉聖
5/中群
5/本局
",30,120.300 ,23.064 ,
48,噴藥,東區,莊敬,12月11日,五,13:15,"東光路二段36巷27號
(念字聖堂)前面",1,0,1,5/本局,12,120.233 ,22.996 ,衛生局
49,噴藥,北區,永祥里,12月11日,五,08:15, 實踐街103巷27弄29號旁空地,1,1,1,"4/偉盛
4/中群",18,120.220 ,23.016 ,
50,噴藥,安平區,平安里,12月11日,五,13:15,安平路304號,1,0,1,"3/偉盛
3/中群",13,120.173 ,22.999 ,
51,噴藥,東區,大學,12月12日,六,08:15,大學路1號(成功大學)電機系系館1樓大門口,2,1,1,6/本局,14,120.361 ,22.629 ,衛生局
52,噴藥,南區,鯤鯓,12月12日,六,13:15,"龍山寺
(台南市南區鯤鯓路102號)",1,1,1,6/本局,13,120.361 ,22.629 ,
53,噴藥,永康區,西勢里,12月12日,六,13:15,西勢里廣興街26巷3號前空地,1,1,0,6/PCO,13,120.361 ,22.629 ,
54,噴藥,東區,關聖,12月13日,日,13:15,裕農三街與裕智街交叉路口(千禧公園),1,0,1,"5/中群
4/偉盛",20,120.361 ,22.629 ,衛生局
55,噴藥,安南,淵東里,12月14日,一,08:15,海佃路四段149巷9號對面空地,1,1,1,2/偉聖,社區動員,120.361 ,22.629 ,衛生局
56,噴藥,北區,東興里,12月14日,一,13:15,  小東路423巷1號前中庭,1,1,1,2/本局,4,120.361 ,22.629 ,
57,噴藥,永康區,東橋里,12月14日,一,08:15,東橋三路113號,1,1,,"4/中群
1/偉聖",11,120.361 ,22.629 ,
58,噴藥,永康區,甲頂里,12月14日,一,13:15,大武街18巷2號,1,1,,3/偉聖,6,120.361 ,22.629 ,
59,噴藥,永康區,鹽行里,12月14日,一,13:15,中正六街109號旁空地,1,1,,4/中群,8,120.361 ,22.629 ,
60,噴藥,永康區,王行里,12月15日,二,08:15,王行路1070號旁,1,1,,4/本局,9,120.277 ,23.042 ,衛生局
61,噴藥,南區,文南,12月15日,二,13:15,台南市南區文南里健康路二段370號(陽信銀行)前,1,1,1,2/本局,5,120.190 ,22.985 ,
