序號,孳清/噴藥,區域,里別,日期,星期,集合時間,集合地點,鎖匠,"警員
(安全維護)",刑警(V8),噴工數,支援人力,經度,緯度,中午休息地點
597,噴藥,中西區,公正里,11月1日,日,08:15,"民族路二段66號
新光三越旁",1,1,0,"9/國軍
1/本局(備)",21,120.210 ,22.994 ,中西區公所(開山路一號)
598,噴藥,中西區,西賢里,11月1日,日,08:15,湖美街與湖美街263巷口,1,1,0,"11/國軍
2/本局(備)",27,120.172 ,23.004 ,中西區公所(開山路一號)
599,噴藥,中西區,郡王里,11月1日,日,08:15,"南門路95號
南門郵局",1,1,0,"4/國軍
1/本局(備)",11,120.207 ,22.987 ,中西區公所(開山路一號)
600,噴藥,中西區,西湖里,11月1日,日,13:15,"湖美三街與
湖美二街106巷",1,1,0,"10/國軍
1/本局(備)",23,120.183 ,23.002 ,中西區公所(開山路一號)
601,噴藥,中西區,大涼里,11月1日,日,13:15,"府前一街
金城國中",1,1,0,"14/國軍
2/本局(備)",33,120.189 ,22.992 ,中西區公所(開山路一號)
602,噴藥,安南,海佃,11月1日,日,08:15,國安街56巷49弄50號,2,2,2,"35/國軍
3/本局(備)",78,120.191 ,23.025 ,鳳凰里活動中心(安中路一段700巷1號)
603,噴藥,安南,鳳凰,11月1日,日,13:15,安中路一段698巷82號(鳳凰公園對面空地),3,3,3,"35/國軍
3/本局(備)",78,120.199 ,23.042 ,鳳凰里活動中心(安中路一段700巷1號)
604,噴藥,安平區,石門里,11月1日,日,08:15,"安北路36之16號旁 
消防局安平分隊",1,1,0,"3/國軍
1/本局(備)",7,120.165 ,23.001 ,安平區衛生所
605,噴藥,安平區,育平里,11月1日,日,08:15,府平路225號,1,0,1,"5/國軍
1/本局(備)",11,120.166 ,22.989 ,安平區衛生所
606,噴藥,安平區,建平里,11月1日,日,13:15,建平十七街117號,1,0,1,"4/國軍
1/本局(備)",9,120.183 ,22.994 ,安平區衛生所
607,噴藥,安平區,建平里,11月1日,日,13:15,"建平十一街102號對面
新南國小圍牆",1,1,0,"6/國軍
1/本局(備)",13,120.183 ,22.994 ,安平區衛生所
608,噴藥,北區,大仁里,11月1日,日,08:15,"大仁里活動中心前面空地
(和緯路一段1號)",1,1,1,"6/國軍
1/本局(備)",15,120.215 ,23.007 ,光武里活動中心(北門路二段591號)
609,噴藥,北區,大和里,11月1日,日,08:15,文賢路833巷60號前空地,1,1,1,"2/國軍
1/本局(備)",6,120.191 ,23.015 ,光武里活動中心(北門路二段591號)
610,噴藥,北區,"成德里
(非區塊)",11月1日,日,08:15,"孝德公園
(育德二路421巷30號對面)",0,0,0,2/國軍,4,120.204 ,23.013 ,光武里活動中心(北門路二段591號)
611,噴藥,北區,小康里,11月1日,日,13:15,"明善堂
(公園路1092巷18號)",1,1,1,"6/國軍
1/本局(備)",15,120.217 ,23.015 ,光武里活動中心(北門路二段591號)
612,噴藥,北區,文元里,11月1日,日,13:15,北成路481巷40號旁空地,1,1,1,"2/國軍
1/本局(備)",6,120.198 ,23.015 ,光武里活動中心(北門路二段591號)
613,噴藥,北區,長德里,11月1日,日,13:15,"糖安宮
(公園南路152巷22-1號)",1,1,1,"2/國軍
1/本局(備)",6,120.206 ,23.003 ,光武里活動中心(北門路二段591號)
614,噴藥,玉井區,玉井里玉田里,11月1日,日,08:15,"玉井區圖書館
民族路218號",2,1,1,"10/中群
5/偉聖",30,120.462 ,23.126 ,玉田里活動中心
615,噴藥,玉井區,玉井里玉田里,11月1日,日,13:15,"玉田里活動中心
中正路7號",2,1,1,"10/中群
2/偉聖",24,120.462 ,23.126 ,玉田里活動中心
616,噴藥,東山區,東山里,11月1日,日,08:15,"東山區東山里320號〈幸福幼稚園門口〉
",1,1,0,3/偉聖,本所,120.403 ,23.328 ,
