年度,70+,65-69,60-64,55-59,50-54,45-49,40-44,35-39,30-34,25-29,20-24,15-19,10-14,5-9,4,3,2,1,0
1998,11,13,20,23,27,37,28,48,33,23,27,11,15,11,1,0,1,0,0
1999,3,0,1,2,2,9,11,10,8,6,8,10,9,2,0,0,1,0,0
2000,5,5,8,7,14,13,19,21,12,10,5,7,5,6,1,0,2,0,0
2001,11,20,21,22,30,30,35,22,17,19,19,10,10,10,2,1,0,0,0
2002,441,461,633,531,628,541,440,324,285,335,300,231,115,76,9,11,5,2,7
2003,12,9,12,15,16,23,18,7,11,12,9,4,9,0,0,0,0,1,0
2004,21,22,29,24,29,41,42,41,46,42,27,28,17,10,4,0,1,1,0
2005,17,26,17,32,26,23,37,28,25,24,12,15,11,13,1,2,0,1,0
2006,77,57,67,93,118,95,112,80,83,66,57,41,60,41,2,5,3,1,1
2007,219,114,171,207,214,219,170,166,135,138,137,109,102,61,3,7,3,3,2
2008,46,37,43,69,82,66,62,60,64,62,34,33,29,30,4,5,0,1,0
2009,75,72,80,108,114,97,69,75,94,92,60,45,34,21,3,3,1,0,0
2010,197,122,109,184,189,149,141,131,172,149,136,82,75,50,5,5,1,0,0
2011,132,82,143,178,160,150,146,138,146,142,71,81,69,47,4,4,1,1,1
2012,140,62,123,198,124,122,107,107,127,126,91,72,51,25,2,0,3,3,0
2013,72,49,71,78,65,61,58,67,101,73,63,44,37,19,4,0,0,0,0
2014,1301,1001,1398,1496,1426,1255,1179,1266,1187,1004,1038,877,695,431,43,42,38,24,7
2015,835,374,526,510,445,400,335,417,410,370,413,326,253,154,19,26,20,19,8
